_section,_species,_page,Areas Of Production,Areas for optimal production,Areas of Production,Areas of production,Biomass Yield(t/h a),Cane yield (t ha-1),Durat ion to matu rity (mon ths),Duratio n to maturit y (month s),Duratio n to maturit y (years),Duration to maturity ( days),Duration to maturity (days),Duration to maturity (months),Duration to maturity (months/day s),Duration to peak production (months),Economic production life (years),Flower yield (t ha-1 y-1),Fruit yield (kg tree-1 y-1),Grai n yiel d (t ha- 1),Grai n yiel d (t ha-1 ),Grain (G) and/or Forage(F ) yield (t ha-1 ),Grain yield (t ha- 1 ),Grain yield (t ha-1 ),Grain yield (t ha-1),Grain yield (t/ha),Grain yield(t ha-1 ),Grain yield(t/ ha),Green tea leaf yield (t ha-1 y- 1),Leaf Yield (t ha- 1),Lint yiel d (t ha- 1 ),Mainta iner and source,Maintai ner and seed source,Maintain er,Maintain er And Source,Maintain er and seed source,Maintain er and seedling source,Maintain er and source,Maintaine r,Maintaine r and Source,Maintaine r and seed source,Maintaine r and seedling source,Maintaine r and source,Maintainer,Maintainer and seed source,Maintainer and seedling source,Maintainer and source,Matu rity durat ion,Maturi ty duratio n,Maturi ty duratio n(mont hs),Maturit y duratio n(mont hs),Maturity Duration,Maturity Duration (months),Maturity duration,Maturity duration (years),Maturity duration( months),Maturity duration(mo nths),Maturity duration(months),Offici al Rele ase Nam e,Official Releas e Name,Official Release Name,Official Release name,Official Variety Name,Official Variety Release Name,Official release name,Official variety release Name,Official variety release name,Optimal producti on altitude range (Masl),Optimal productio n altitude range (Masl),Optimal production altitude (Masl),Optimal production altitude (masl),Optimal production altitude range (Masl),Optimal production altitude range (masl),Owne r(s),Owner (s) / Licensee,Owner( s),Owner( s) / License e,Owner( s) license e,Owner(S) Licensee,Owner(s ) / Licensee,Owner(s),Owner(s) / Licensee,Owner(s) / licensee,Owner(s) Licensee,Owner(s) licensee,Relea se name,Releas e Name,Releas e name,Release Name,Release name,Root yield (tha- 1 y-1),Root yield (tha-1 y- 1),Root yield (tha-1 y-1),Seed yield( t ha- 1),Special Attributes,Special attributes,Time to 50% flowering at 2551 m a s l (months),Tuber yield (t ha- 1),Tuber yield (t ha-1),Variety Code / Name,Variety Name,Variety Name/C ode,Variety Testing name/Co de,Variety name,Variety name/ Code,Variety name/ variety code,Variety name/cod e,Variety name/code,Variety testing name/c ode,Variety testing name/cod e,Year Of Release,Year of Releas e in kenya,Year of rele ase,Year of relea se,Year of releas e,Year of releas e in Kenya,Year of release,Year of release in Kenya,Year of release in kenya,Yiel d(t/ ha),Yield,Yield (T/Ha ),Yield (t/ha),Yield (t/ha) per tree,Yield( t/ha),Yield(t /ha),Yield(t/ ha),release name
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,-,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,8. Mo/70/ 845,,,,,,,,,1977,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,9. Mo/70/ 1124,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1 - 1.1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,10. Ma/71/ 423,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,11. Ma/75/ 4,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,12. Mo/74/ 122,,,,,,,,,1982,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,13. Ks/71/6,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1.1 - 1.2,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,14. Ks/75/3 13,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1 - 1.2,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,15. KS/70/6 4,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1.1 - 1.2,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,16. Ma/70/ 1013,,,,,,,,,1979,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1.1 - 1.2,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,17. L/75/48 7,,,,,,,,,1980,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1.1 - 1.2,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,18. Ks/75/3 36,,,,,,,,,1980,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,1 - 1.1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,19. L/75/47 7,,,,,,,,,1980,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",122,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,20. Ks/72/4 3,,,,,,,,,1980,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,9-10,,0.9 - 1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,21. Ma/74/ 223,,,,,,,,,1982,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,9-10,,1 - 1.1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700-2200,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,22. Mo/74/ 443,,,,,,,,,1982,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,9-10,,0.9 - 1.1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,23. K218,,,,,,,,,1988,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,9-10,,0.6 - 1.1,,,,,,,,,,,,,,,,,,,,,,,PBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,KARI/PBK,,,,,,,,,,,,,,, High pyrethrins content,,,,,,,,,,,,24. K235,,,,,,,,,1988,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,2-3 (from trans- planting),,1.35- 1.85 per year for 4-6 years,,,,,,,,,,,,,,,,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude:2200-2800 m.a.s.l AEZ:UH1-3 Sites :Nakuru,UasinGishu ,Elgeyo Marakwet,Nandi,Ba ringo, Narok, Laikipia, Trans nzoia, West Pokot, Kisii, Nyamira, Kiambu, Nyeri, Nyandarua,Meru , Embu ,and Bungoma",,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,, Pyrethrin content of 1.78 - 2.14,,,,,,,,,,,,25. KENT 1,,,,,,,,,2023,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,1.5-2from trans- planting,,1.30- 1.78 per year for 3-4 years,,,,,,,,,,,,,,,,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude:2200-2800 m.a.s.l AEZ:UH1-2 Sites :Nakuru,UasinGishu ,Elgeyo Marakwet,Nandi,Ba ringo, Narok, Laikipia, Trans nzoia, West Pokot, Kisii, Nyamira, Kiambu, Nyeri, Nyandarua,Meru , Embu ,and Bungoma",,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,, Pyrethrin content of 1.70 - 2.16,,,,,,,,,,,,26. KENT 2,,,,,,,,,2023,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",123,,,,,,,,,,,,,,2-2.54from trans- planting,,1.2-1.7 per year for 4-5 years,,,,,,,,,,,,,,,,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude:2400-3000 m.a.s.l AEZ:UH1-2 Sites:Nakuru,Uasin Gishu,Elgeyo Marakwet,Nandi,Ba ringo, Narok, Laikipia, Trans nzoia, West Pokot,",,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,, Pyrethrin content of 1.84 - 2.09,,,,,,,,,,,,27. KENT 3,,,,,,,,,2023,,,,,,,,,,,
PYRETHRUM,"Chrysanthemum cinerariaefolium
Variety Year of Owner",124,,,,,,,,,,,,,,2.5-3from trans- planting,,1.13-1.8 per year for 3-4 years,,,,,,,,,,,,,,,,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude:2200-3000 m.a.s.l AEZ:UH1-2 Sites :Nakuru,UasinGishu ,Elgeyo Marakwet,Nandi,Ba ringo, Narok, Laikipia, Trans nzoia, West Pokot, Kisii, Nyamira, Kiambu, Nyeri, Nyandarua,Meru , Embu ,and Bungoma",,,,,,,,,KENTEGRA PYRETHRU M COMPANY,,,,,,,,,,,,,,, Pyrethrin content of 1.82 - 2.12,,,,,,,,,,,,28. KENT 4,,,,,,,,,2023,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2400,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,(2-3),, High oil content,,,,,,,,,,,,1. H067,,,,,,1974,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2300,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,(2-3),, Average oil content,,,,,,,,,,,,2. Kenya White,,,,,,1957,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2300,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,(3-4),, High oil content,,,,,,,,,,,,3. Kenya Fedha,,,,,,1981,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2300,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,(3-4),, Average oil content,,,,,,,,,,,,4. Kenya Shaba,,,,,,1981,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2400,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,(2-3),, Combines high yield with high oil content,,,,,,,,,,,,5. H.894,,,,,,1988,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2400,,,,,,,,,Kenya Seed Co,,,,,,,,,,,,,(2-3),, High oil content,,,,,,,,,,,,6. H893,,,,,,1988,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2400,,,,,,,,,Kenya Seed Co,,,,,,,,,,,,,(2-3),, Early,,,,,,,,,,,,7. H001,,,,,,1989,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2200,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,(2-3),, High oil content,,,,,,,,,,,,8. H.898,,,,,,1989,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,900-2200,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,(3-4),," Early, High oil content",,,,,,,,,,,,9. H8998,,,,,,1992,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2200,,,,,,,,,Pannar Seed,,,,,,,,,,,,,1.9- 2.5,, High oil content Black seeds,,,,,,,,,,,,10. PAN 7352,,,,,,1994,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2200,,,,,,,,,Pannar Seed,,,,,,,,,,,,,1.2-2,, Black seeds 44% oil content  Tolerant to bird attacks,,,,,,,,,,,,11. PAN 7369,,,,,,1994,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,,,0-2500,,,,,,,,,KARI,,,,,,,,,,,,,1.5– 2.5,,,,,,,,,,,,,,12. Kenya Almasi,,,,,,2008,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2300,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,3-3.6,, High yield  High oil content (41%),,,,,,,,,,,,13. KS-H4038,,,,,,2008,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2300,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,3.6-4,, High yield  High oil content (43%),,,,,,,,,,,,14. KS-H4088,,,,,,2008,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",125,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanta Seed International,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 900 —2200 m asl AEZ: LH 1-4, UM 1-4, LM 1- 4 Sites: Nakuru,",,,,,,,,,Advanta Seed International,,,,,,,,,,,,,2.5- 3.0,," High oil content (45% -48%)  Wide adaptability  Drought tolerant  Tolerant to Alternaria, albugo",,,,,,,,,,,,15. Hysun 33,,,,,,2021,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAR-Njoro,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-2400,,,,,,,,,KARI,,,,,,,,,,,,,1-3.0,, High yielding,,,,,,,,,,,,16. KAJ 037,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAR-Njoro,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2000,,,,,,,,,KARI,,,,,,,,,,,,,1-2.0,, Early maturity,,,,,,,,,,,,17. KAJ 001,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,900-2200,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,1.5-2,, Very high oil content (45%)  Wide adaptability  Very uniform  Excellent standability,,,,,,,,,,,,18. PAN 7031,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2400,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,2-3.0,," Resistant to common rust  Good on downy mildew and sclerotinia  High oil content(41%), excellent standabilty",,,,,,,,,,,,19. PAN 7033,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,900-2200,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,1.5-2,, Good standability  High oil content (43%)  Excellent stability,,,,,,,,,,,,20. PAN 7034,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2400,,,,,,,,,Pannar Seed (K),,,,,,,,,,,,,2-3.0,," Very uniform, very high oil content (47%)  Excellent standability  Good on sclerotinia",,,,,,,,,,,,21. PAN 7043,,,,,,2010,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",126,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pannar,,,,,,,,,,,,,,,,,,,,,,,,,,,900-2200,,,,,,,,,Pannar,,,,,,,,,,,,,2-3.0,, Very high oil content (41%)  Widely adaptable  Uniform and excellent standability therefore ideal for,,,,,,,,,,,,22. PAN 7351,,,,,,2012,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",127,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maintainer syngenta CH, source of varieties syngenta private breeding program.",,,,,,,,,,,,,,,,,,,,,,,,,,,900-2200 mid,,,,,,,,,Syngante E.A Ltd,,,,,,,,,,,,,2-3.0,, High oil content (47.3%)  Good drought tolerance  Tolerant toto sclerotinia wilt,,,,,,,,,,,,23. NK ADAGIO,,,,,,2016,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",127,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maintainer syngenta CH, source of varieties syngenta private breeding program.",,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2400 Mid- Early,,,,,,,,,Syngante E.A Ltd,,,,,,,,,,,,,2-3.0,," Good homogeneity  Very good oil content  Low susceptibity to Phoma,macr9oph oma & botrytis  Resisstant to Brome Rape race E",,,,,,,,,,,,24. NK KONDI,,,,,,2016,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",127,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maintainer syngenta CH, source of varieties syngenta private breeding program.",,,,,,,,,,,,,,,,,,,,,,,,,,,1000-2400 Early,,,,,,,,,Syngante E.A Ltd,,,,,,,,,,,,,2-3.0,, Good homogeneity  Very good oil content  Tolerant to promophosis  Resisstant to Brome Rape race E,,,,,,,,,,,,25. NK DELFI,,,,,,2016,,,,,,,,,,,,,,
SUNFLOWER,"Helianthus annus L.
Variety Year Owner",127,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Syngante Ag,Basel,Switzer land",,,,,,,,,,,,,,,,,,,,,,,,,,,Transitional to medium and medium altitude,,,,,,,,,"Syngante Ag,Basel,Switzerlan d",,,,,,,,,,,,,3,, A conventional linoleic oil type with high quality oil content of upto 55%  Stability 8/9  Drought resistance7/9  A clearfield hybrid tolerant to IMI herbicides,,,,,,,,,,,,26. NX 55010(NK NEOMA),,,,,,2018,,,,,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,4-5,,,,,,,,,,,,,,,,,2-5,,,,,,,,,,KARI-Kibos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1300,,,,,,,,,,,,,KARI,,,,,,,,,,,,,, Fine fibre lint,,,,,,,,,,,,1. KSA 81 M,,,,,,,,,,1998,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,2.5 at 0 - 500m 2.5-3 at 1000-1650m,,,,,,,,,,,,,,,,,2,,,,,,,,,,IRAD,,,,,,,,,,,,,,,,,,,,,,,,,IRMA L457,,,0 - 1650,,,,,,,,,,,,,CIRAD/IRA D/SODECO TON*,,,,,,,,,,,,,, Tolerance to Bacterial blight,,,,,,,,,,,,2. AF0903,,,,,,,,,,2012,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,2.5 at 0 - 500m 2.5-3 at 1000-1650m,,,,,,,,,,,,,,,,,2,,,,,,,,,,IRAD,,,,,,,,,,,,,,,,,,,,,,,,,IRMA L484,,,0 - 1650,,,,,,,,,,,,,CIRAD/IRA D/SODECO TON*,,,,,,,,,,,,,, Tolerance to Bacterial blight,,,,,,,,,,,,3. AF0904,,,,,,,,,,2012,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,4-5,,,,,,,,,,,,,,,,,3-5,,,,,,,,,,Monsanto Inc.,,,,,,,,,,,,,,,,,,,,,,,,,DP 486,,,0 - 1300,,,,,,,,,,,,,Monsanto (K) Limited,,,,,,,,,,,,,," High GOT  Long , strong lint",,,,,,,,,,,,4. 06K486,,,,,,,,,,2012,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,4-5,,,,,,,,,,,,,,,,,1.1 5,,,,,,,,,,MONSANT O (K) LTD,,,,,,,,,,,,,,,,,,,,,,,,,DP485,,,0-1300 m ASL,,,,,,,,,,,,,MONSANT O (K) LTD,,,,,,,,,,,,,, High yield  Long fiber length  Good leaf pubescence (hairiness).,,,,,,,,,,,,5. 06K485,,,,,,,,,,2015,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,1 ys,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,Hazera Seeds,,,,,,,,,,,,,,,,,,,,,,,,,HA - 211,,,Medium Altitude,,,,,,,,,,,,,Hazera Seeds,,,,,,,,,,,,,, Lint Quality  Values Strength (gr/tex): 34 – 36  Elongation %: 7.5 - 8.0  Fineness (micr.): 3.6 - 3.8  Length (inch): 1.36 - 1.37,,,,,,,,,,,,6. HA-211 / Intercott 211,,,,,,,,,,2017,,,,,,,,,,
COTTON,"Gossypium hirsutum
Variety Official Year of Owner",128,,,,,,,,,,,,1 ys,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,Hazera Seeds,,,,,,,,,,,,,,,,,,,,,,,,,HA - 701,,,Medium Altitude,,,,,,,,,,,,,Hazera Seeds,,,,,,,,,,,,,, Lint Quality Values  Strength (gr/tex): 33 – 35  Elongation %: 6.5 - 7.5  Fineness (micr.): 3.6 - 3.8  Length (inch): 1.33 – 1.34,,,,,,,,,,,,7. HA-701 / Intercott 701,,,,,,,,,,2017,,,,,,,,,,
