Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Rice,506,FARO 69,Hanliangyon 3908 (DS15),NGOS-24-80,"Shanghai Agro- biological Gene Center, Institute of Crop Sciences (ICS), Chinese Academy of Agricultural Sciences (CAAS), China","Shanghai Agro- biological Gene Center, Institute of Crop Sciences (ICS), Chinese Academy of Agricultural Sciences (CAAS), China","Federal University of Agriculture Abeokuta, Green Agriculture West Africa Limited (GAWAL), Abuja, Federal University Lafia, Federal University Oye-Ekiti","Yu, X., Liu. G., Kong, D., Luo, L., Xu, J., Salihu, B.Z., Ajadi, A.A, Ehirim, B.O., Isong, A.E., Umar, F., Ajaye, O.F., Muhammed, I.G., Gbadeyan, S.T., Eze, J.N., Olaniyan, O.B., Adigbo, S.O., Adeniji, O.T. & Ibrahim, A.J.",High yield and drought tolerance. (13.8t/ha),Lowland,2024,2024,57
Rice,507,FARO 70,Hanliangyon 7608 (DS18),NGOS-24-81,"Shanghai Agro- biological Gene Center, Institute of Crop Sciences (ICS), Chinese Academy of Agricultural Sciences (CAAS), China","Shanghai Agro- biological Gene Center, Institute of Crop Sciences (ICS), Chinese Academy of Agricultural Sciences (CAAS), China","National Cereals Research Institute, Badeggi, Federal University of Agriculture Abeokuta, Green Agriculture West Africa Limited (GAWAL), Abuja, Federal University Lafia, Federal University Oye-Ekiti","Yu, X., Liu, G., Kong, D., Luo, L., Xu, J., Salihu, B. Z., Ajadi, A. A, Ehirim, B. O., Isong, A. E., Umar, F., Ajaye, O. F., Mohammed, I. G., Gbadeyan, S. T., Eze, J. N., Olaniyan, O. B.; Jun, W., Wen, J., Adigbo, S. O., Adeniji, O. T., Shema, A. M. and Ibrahim, A. J.","High crop and ratoon yield, early maturity and drought tolerance. (11.8t/ha)",Lowland,2024,2024,57
Rice,508,FARO 71,BRRI DHAN 74,NGOS-25-82,Bangladesh Rice Research Institute (BRRI),Bangladesh Rice Research Institute (BRRI),"National Rice and Maize Centre, Ibadan; ADP Niger, Oyo & FCT; Centre for Dryland Agriculture, Bayero University, Kano; Foreign Commonwealth and Development Office; Alliance for Green Revolution in Africa (AGRA)","Alangir Hossain, Partha S.B, Abdul Kadel, Muhammed L., Isong, A.E., Bashir, M., Shaib, A.S., Muhammed, I.O., Audu, S.O., Salihu, A., Gbadeyan, S.T., Ajaye, O.F. & Muhammed, A.",High yiedling and high Zinc content (24.18mg). (9.6t/ha),Savanna and Rainforest ecologies,2025,2025,57
Rice,509,FARO 72,BRRI DHAN 100,NGOS-25-83,Bangladesh Rice Research Institute (BRRI),Bangladesh Rice Research Institute (BRRI),"National Rice and Maize Centre, Ibadan; ADP Niger, Oyo & FCT; Centre for Dryland Agriculture, Bayero University, Kano; Foreign Commonwealth and Development Office; Alliance for Green Revolution in Africa (AGRA)","Alangir Hossain, Partha S.B, Abdul Kadel, Muhammed L., Isong, A.E., Bashir, M., Shaib, A.S., Muhammed, I.O., Gbadeyan, S.T., Apuyor, B., & Audu, S.D.","High yiedling, medium slender grain and high Zinc content (25.2mg/kg). (9.8t/ha)",Savanna and Rainforest ecologies,2025,2025,58
Rice,510,ADV 8200,PAC 801,NGOS-25-84,"Advanta Enterprise Limited, India","Advanta Enterprise Limited, India","NCRI, Badeggi; ADPs Niger & Oyo.","Shindu, I., Bashir, M., Muhammed M.L., Isong, A.E., Ajaye, O.J., Salihu, A., Orolakin, O.G., Mohammed, I.G., Gbadeyan, S.T. & Apuyor, B.F.","High yielding, high milling recovery (71.15%), medium duration. (13.8t/ha)",Savanna and Rainforest ecologies,2025,2025,58
Rice,511,Swarna 2,ADV 8744+,NGOS-25-85,"Advanta Enterprise Limited, India","Advanta Enterprise Limited, India","NCRI, Badeggi; ADPs Niger & Oyo.","Shindu, I., Bashir, M., Muhammed M.L., Isong, A.E., Ajaye, O.J., Orolakin, O.G., Mohammed, I.G., Gbadeyan, S.T. & Apuyor, B.F.","High yielding, high head rice yield (52.15%) and medium duration. (13.9t/ha)",Savanna and Rainforest ecologies,2025,2025,58
Rubber,512,NIG-800,RRIN-C76,NGHB-00-1,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,58
Rubber,513,NIG-801,RRIN-C.83,NGHB-00-2,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,58
Rubber,514,NIG-806,RRIN-C-163,NGHB-00-3,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,58
Rubber,515,NIG-807,RRINC-145,NGHB-00-4,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
