crop_number,crop_name_fr,crop_latin,No d'ordre,Dénomination,Nature Génétique,Nature génétique,Obtenteur/ Pays,Obtenteur / Pays,Obtenteur/ pays,Date d'inscription,Mainteneur,Aptitude au tallage,Aptitude à la conservation,Arôme du grain,Autres caractéristiques,"Autres caractéristiques (insectes, striga, maladies)",Autres carasteristiques,Couleur de la chair,Couleur de la peau,Couleur de la peau du tubercule,Couleur de la tunique du bulbe à maturité,Couleur des grains,Couleur du fruit à maturité,Couleur du grain,Couleur fibre,Couleur principale du tégument du grain,Cycle plantation (jours),Cycle plantation- maturité (jours),Cycle plantation- maturité (mois),Cycle semis - maturité (50%) (Jr),Cycle semis- maturité 1ère récolte (jours),Cycle semis- maturité à 50% (jours),Cycle semis- maturité à 95% (jours),Cycle semis- maturité à 95% des plants (jours),Cycle sémi- maturité 50% /jour,Date d'inscript ion,Densité de la panicule,Dormance des grains,Durée de conservation,Délai de brunissement de la chair après grattage,Elongation de la fibre,Epoque dehiscence première capsules(j),Espèce,Fermeté du fruit,Forme de la panicule (position de la partie la plus large),Forme de la racine turbéreuse,Forme du tubercule,Forme du turbercule en section longitudinale,Hauteur de la plante (cm),Hauteur de plant (cm),Hauteur de plante (cm),Hauteur de plante en cm,Hauteur de plants (cm),Hauteur des plants,Hauteur des plants (cm),Index de gluten,Indice micronaire,Isohyete (mm),Isohyète,Isohyète (mm),Longueur de l'épi,Longueur de la chandelle (cm),Longueur du tubercule,Longueur fibre,Nature génétiqe,Obtenteur /pays,Obtenteur/Pa ys,Photosensibilité,Poids de 100 Graines (g),Poids de 100 graines (g),Poids de 100 grains (PCG) à 15%,Poids de 100 grains (g),Poids de 1000 graines (g),Poids de 1000 grains (g),Poids des bulbes et bulbilles,Poids moyenne du fruit (g),Port de plante,Port des plants,Pourcentage de gros calibre,Reflectance,Rendeme nt potentiel (t/ha),Rendement en fanes (t/ha),Rendement en grains (t/ha),Rendement grains (t/ha),Rendement mesuré (T/Ha),Rendement mesuré (T/ha),Rendement mesuré (t/ha),Rendement potentiel (t/ha),Rendement potentiel en fanes (t/ha),Rendement égrenage (%),Résistance au striga,Résistance aux bioagresseurs,Résistance aux maladies,Résistance aux nuisibles,Résistance aux virose,Résistance à la sécheresse,Résistance à la verse,Sensibilité à la photopériode,Taille du bulbille,Taille du fruit,Tenacité de la fibre,Tendance à la montaison,Teneur en acide cyanhydrique,Teneur en huile (%),Teneur en proteine,Teneur en protéines (%),Tolérance à la sécheresse,Type de blé (dur ou tendre),Type de croissance,Type de crosissance,Type de plant,Vocation culturale,Vocation d'utilisation,Vocation d’utilisation,aptitude à la conservation,autres caractéristiques,couleur de grain (dos),couleur de la Peau,cycle semi- maturité,hauteur de la plante (cm),indice du jaune,isohyète,isohyète (mm),longueur de l'Épi,longueur du grain,rendement mesuré (T/Ha),résistance aux nuisibles,résistance à la sécheresse,tolérance à la secheresse,type de grain,vocation culturale
13,RIZ,Oryza sativa L.,17,GMB LS 2021,Hybride,,,,,,HUANG ZHI,,,high aroma,,,,,,,,,,white,,,,,,,,122,,,,2022,,,,,,,,,,,,,,,124.7,,,,,,,,,NA,,,,,,,NARI/Gambia,,,,,,,29.7,,,,,,,,,,,,,11,,,,,,,oui,,,ND,,,,,,,,,,tolerance to drought and Iron toxicity,,,,,irrigated,,,,,,,,,,,,,6.6,,,,,,
14,SOJA,Glycine max (L.,1,NCRISOY 3,Lignée,,,,IITA & NCRI Nigeria,2022,NCRI Nigeria,,,,Toélrante à la bacériose et à la cercosporiose des feuilles,,,,,,,Jaune,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,72,,,700 - 900,,,,,,,,,,,17,,,,,,,,,erect,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,39.2,,,,Déterminée,,,,,,,,,,,,,,,,,,,,,
14,SOJA,Glycine max (L.,2,NCRISOY 4,Lignée,,,,IITA & NCRI Nigeria,2022,NCRI Nigeria,,,,Sensible aux ravageurs,,,,,,,Jaune,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,54,,,900 - 1100,,,,,,,,,,,13,,,,,,,,,erect,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,43.97,,,,Déterminée,,,,,,,,,,,,,,,,,,,,,
14,SOJA,Glycine max (L.,3,SC SIGNAL,Lignée,,,,Seed Co / Nigeria,2022,Seed Co West & Central Africa,,,,"Haut rendement, tolérance à la rouille, précocité et dégagement élevé des gousses. Huile - 28%",,,,,,,Hile jaune et brun foncé,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,75,,,700 - 900,,,,,,,,,,,15.7,,,,,,,,,Dressé ou debout,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,43,,,,Indéterminée,,,,,,,,,,,,,,,,,,,,,
14,SOJA,Glycine max (L.,4,SC-SL01,Lignée,,,,Seed Co / Nigeria,2022,Seed Co West & Central Africa,,,,"Tolérance à la rouille, précocité, grande taille de graine et gousse élevée. Huile - 22.8%",,,,,,,Hile jaune et noir,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,75,,,700 - 900,,,,,,,,,,,15,,,,,,,,,Dressé ou debout,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,47.8,,,,Indéterminée,,,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,1,Kolmon Rouge,OPV,,ITRAD/TCD,,,2022,ITRAD/TCD,,,,,indifférent à la verse,,,,,,,,brun rouge,,,,,,,,,,,,,dense,,,,,,,,moyenne,,,,,,300,,,,,,,,,700 - 900,,,,,,,,,,,,,,32,,,,,,,,,,,,,6,,,,,,,,,,,non sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,2,JIGIFA,Hybride,,IER/MALI,,,2022,IER/Mali,,,,,sensible à l'anthracnose,,,,,,,,blanc,,,,,,,,120,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,197,,,,,,,,,800 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,5.19,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,3,NAFANDI,Hybride,,IER/ICRISAT/ Mali,,,2022,IER/Mali,,,,,tolérant à l'anthracnose,,,,,,,,blanc,,,,,,,,115,,,,,faible,,,,,,,,pyramidale (très basse),,,,,,274,,,,,,,,,600 - 1000,,,,,,,,,,,,,,26,,,,,,,,,,,,,5.94,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,4,NANTOLI,Hybride,,IER/ICRISAT/ Mali,,,2022,IER/Mali,,,,,tolérant à l'anthracnose,,,,,,,,blanc,,,,,,,,122,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,225,,,,,,,,,800 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,5.39,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,5,N’DAFOUTE,Hybride,,IER/ICRISAT/ Mali,,,2022,IER/Mali,,,,,tolérant à l'anthracnose,,,,,,,,blanc,,,,,,,,122,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,199,,,,,,,,,800 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,4.75,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,6,SABOUGNOUMA,Hybride,,IER/Mali,,,2022,IER/Mali,,,,,tolérant au striga,,,,,,,,blanc,,,,,,,,115,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,192,,,,,,,,,600 - 1000,,,,,,,,,,,,,,21,,,,,,,,,,,,,4,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,7,WASSANIO,Hybride,,IER/Mali,,,2022,IER/Mali,,,,,tolérant à l'anthracnose,,,,,,,,blanc,,,,,,,,120,,,,,faible,,,,,,,,pyramidale (très basse),,,,,,214,,,,,,,,,800 - 1000,,,,,,,,,,,,,,21,,,,,,,,,,,,,5.52,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,8,SAMOGOKE,lignée pure,,IER/Mali,,,2022,IER/Mali,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,120,,,,,faible,,,,,,,,pyramidale (très basse),,,,,,187,,,,,,,,,800 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,2.28,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,9,TOUNKO,lignée pure,,IER/Mali,,,2022,IER/Mali,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,122,,,,,faible,,,,,,,,pyramidale (très basse),,,,,,202,,,,,,,,,800 - 1000,,,,,,,,,,,,,,21,,,,,,,,,,,,,2.14,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,10,BERATO,lignée pure,,IER/Mali,,,2022,IER/Mali,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,118,,,,,faible,,,,,,,,pyramidale (très basse),,,,,,163,,,,,,,,,800 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,2.14,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,11,SANAWILY,lignée pure,,IER/Mali,,,2022,IER/Mali,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,110,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,160,,,,,,,,,600 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,2.1,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,12,DJAMASSON,lignée pure,,ICRISAT/IER,,,2022,IER/Mali,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,116,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,228,,,,,,,,,600 - 1000,,,,,,,,,,,,,,21,,,,,,,,,,,,,2.06,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
15,SORGHO,Sorghum bicolor L. Moench,13,GUENDEFA,lignée pure,,ICRISAT/IER,,,2022,ICRISAT/IER,,,,,résistant aux chenilles légionaires,,,,,,,,blanc,,,,,,,,117,,,,,moyenne,,,,,,,,pyramidale (très basse),,,,,,215,,,,,,,,,600 - 1000,,,,,,,,,,,,,,20,,,,,,,,,,,,,2.2,,,,,,,,,,,sensible,,,,,,,,,,,,,,pluviale,,,,,,,,,,,,,,,,,,,
16,TOMATE,Solanum lycopersicum L,1,FOUGNAKA,lignée pure,,,,IER/Mali,2022,IER- WorldVEG,,,,,,ND,,,,,,rouge,,,,,,,,70,,,,,,,,courte,,,,,ferme,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,,,,,67.96,,,,,,,,,,,,12,,,,,tolérant,,,,,,,moyenne,,,,,,,,,déterminé,,,pluviale,alimentaire,,,,,,,,,,,,,,,,,,
16,TOMATE,Solanum lycopersicum L,2,WATIBE,lignée pure,,,,IER/Mali,2022,IER- WorldVEG,,,,,,ND,,,,,,rouge,,,,,,,,70,,,,,,,,longue,,,,,ferme,,,,,,,,,,,,,,,,400 - 1200,,,,,,,,,,,,,,,,72.95,,,,,,,,,,,,10.93,,,,,tolérant,,,,,,,moyenne,,,,,,,,,déterminé,,,toute saison,alimentaire,,,,,,,,,,,,,,,,,,
16,TOMATE,Solanum lycopersicum L,3,CRI-Kwabena Kwabena,CRI-P005,,,,CRI,2021,CSIR-CRI,,,,,,"High brix (6.3 at 200C), High yield (20 t/ha), Tolerance to leaf blight, High shelf life (when fruits are harvested and stored at colour break)",,,,,,Red,,,,,,,,55-60,,,,,,,,long (26 at colour break),,,,,firm,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,85,,,,,,,,,,,,20,,,,,"Tolerance to whiteflies, Early and late blight",,,,,,,medium,,,,,,,,,semi determinate,,,Major and minor seasons of Forest and Transitional agroecologic al zones,for food and processing,,,,,,,,,,,,,,,,,,
16,TOMATE,Solanum lycopersicum L,4,KOPIA Tomato,CRI-P002,,,,CRI,2021,CSIR-CRI,,,,,,"High brix (6.6 at 200C), Tolerance to leaf blight (early and late), High shelf life (when fruits are harvested and stored at colour break)",,,,,,Red,,,,,,,,55,,,,,,,,average (18 days at colour brea,,,,,firm,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,90,,,,,,,,,,,,20,,,,,"Tolerance to whiteflies, Early and late blight",,,,,,,medium,,,,,,,,,Determinate,,,Major and minor seasons of Forest and Transitional agroecologic al zones,for food and processing,,,,,,,,,,,,,,,,,,
