Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
Oboshie,GH/Ah/015/15,ICRISAT,"J. Y. Asibuo, H.K. Adu- Dapaah, S. Amoah, S.N.T.T Addy (CSIR-CRI)",CSIR-Crops Research Institute,Growth habit: Semi-erect; Leaf colour: Light green; Terminal leaf shape: Elliptic; Flowers on main stem; Flower pattern: sequential; Variety with monochrome testa only; Kernel: lack of dormancy; Market types: (Spanish); Leaf colour: Light green; Seed colour: brown; Days to 50% flowering: 26; Days to maturity:105-110; Pod length: 3.98cm; Pod width:1.85cm; Seed length: 2.09; seed diameter:1.20cm; Seeds/pod: 2; Pod beak: Slight; Pod constriction: Moderate; Shelling percentage: 67,Good flavour; Sweet taste; Confectionery; Zinc:2.56(mg/100g); Iron: 3.62(mg/100g); Phosphorus: 848.88(mg/100g); Calcium 448.9(mg/100g); Magnesium: 330.53(mg/100g); % Moisture: 5.59; % Ash :2.48; % Protein: 34.13; % Fat: 46.49; % Fibre: 4.54; % Carbohydrate: 6.78; % WBC :266.15; % Solubility :61.09; Swelling power: 14.95; pH: 6.52; 1000 seed weight: 856 g; Pod yield: 2.6 tons/ha,"Savannah, forest-savannah transtion, semi deciduous forest",ICGV 98412,2012,2015,COTTON,Gossypium hirsutum 81,51
SARINUT 1,GH/Ah/001/19,Texas A&M University and CSIR- SARI,N. N. Denwar and R. Oteng- Frimpong (CSIR-SARI),CSIR-Savanna Agricultural Research Institute,Growth habit : erect with sequential branching; Leaflet shape : Cuneate; Leaf colour : green; Peg pigmentation: pigmented; Pod constriction: very deep; Pod reticulation : moderate; Number of seeds per pod : two; Prominence of beak : slight; Seed coat color : deep red; Seed dormancy : present; Shelling percentage : 66%; 100 seed weight : 42.5 g.,Yield potential : 2.6 t/ha; Haulm yield: high; Days to maturity: 120; Disease resistance: resistance to early and late leaf spot; Oil content of kernel: 51%; Protein content : 25 %; Oil quality : High oleic; Uses : Confectionery and oil extraction; Crude Protein content in leaves: 12.2%; Shelling percentage: 66%,Guinea and Sudan savannah,"""GAF 1723 GAF 1723 is an F5- derived progeny of crosses between a BC3 derivative of TxAG-6 and a high oleic peanut variety: Tamrun OL02 x 43-09-03-02",2019,2019,COTTON,Gossypium hirsutum 81,51
Crops- PION,GH/Ah/003/19,CSIR-CRI,"J. Y. Asibuo, CSIR-CRI",CSIR-Crops Research Institute,Growth habit: Semi: Erect; Flowering pattern: Sequential; Market type: Spanish; Leaf colour: Light green; Pod constriction: Shallow; Pod surface texture: Medium; Seeds/ Pod: 2 ; Beakness: Inconspicuous; Pod beak shape: Curved; Pod length: 28.10mm; Pod width: 13.40 mm; Kernel colour: Tan; Kernel shape: Spherical; Kernel size: Medium; Kernel dormancy: Absent; Kernel Length:13 mm; Kernel Width: 8 mm;,% Moisture: 5.94; % Ash: 2.09; % Protein: 33.32; % Fat: 44.52; % Fibre: 1.8; % Carbohydrate: 12.33; 1000 Seed weight: 464g; Pod yield: 2.8 t/ha; Maturity: Early (90 days),"Savannah, forest-Savannah transtion, semi deciduous forest, Coastal Savannah",Aprewa x Azivivi,2019,2019,COTTON,Gossypium hirsutum 81,51
Ghana Variety Release Catalogue,51,,,,,,,,,,COTTON,Gossypium hirsutum 81,51
Crops- Abakan,GH/Ah/004/19,CSIR-CRI,"J. Y. Asibuo, CSIR-CRI",CSIR-Crops Research Institute,"Growth habit: Semi-erect; Flowering: general pattern: Sequential, Flowering pattern main stem: Sequential; Market type: Spanish; Growth habit: Semi-erect; Plant branching: Medium; Maturity: Early (90-95 days); Leaflet size: Medium; Leaflet colour: Light green; Pod constrictions: Shallow; Pod surface texture: Medium; Pod Kernel Number: Few(2 or less); Pod Beak Prominence: Medium Prominent; Pod beak shape: Curved; Pod length: 31.00mm; Pod width: 12.70mm; Kernel colour: Monochrome(Red); Kernel shape: Cylindrical; Kernel size: Medium; Kernel dormancy: Absent; Kernel Length: 14.30mm; Kernel Width: 8.50mm; 100 kernel weight: 46.00g; 1000 Kernel weight: 456.00g",% Moisture: 5.57; % Ash: 2.24; % Protein: 30.37%; Fat: 48.83; % Fibre: 2.24%; Carbohydrate: 10.59; High Oil content,"Savannah, forest-savannah transition, semi deciduous forest, Coastal Savannah",Nkatepa x Nkosour,2019,2019,COTTON,Gossypium hirsutum 81,52
Crops - Dehyee,GH/Ah/006/19,ICRISAT,"J. Y. Asibuo, CSIR-CRI",CSIR-Crops Research Institute,Flowering: general pattern- Sequential; Flowering pattern main stem: Sequential; Market type: Spanish; Growth habit: Semi-erect; Plant branching: Medium; Maturity: Early (85-90 days); Leaflet size: Medium; Leaflet colour: Light green; Pod constrictions: Shallow; Pod surface texture: Medium; Pod Kernel Number: Medium(Mostly 3); Pod Beak Prominence: Absent; Pod beak shape: Curved; Pod length: 22.30mm; Pod width: 13.00mm; Kernel colour: Monochrome(brown); Kernel shape: Spherical; Kernel size: Medium; Kernel dormancy: Absent; Kernel Length: 12.44mm; Kernel Width: 8.20mm; 100 kernel weight: 48.00g; 1000 Kernel weight: 447.00g,% Moisture: 5.82%; Ash: 2.24%; Protein: 35.37%; Fat: 50.53%; Fibre: 2.35%; Carbohydrate: 3.69; Pod yield: 2.9t/ha; Tolerant to Aflatoxins; Early maturity (85- 90 days); High Oil content,"Savannah, forest-savannah transtion, semi deciduous forest",Introduction from ICRISAT,2019,2019,COTTON,Gossypium hirsutum 81,52
SOYA BEAN,,,,,,,,,,,COTTON,Gossypium hirsutum 81,53
SPECIES: Glycine max L. Merr.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,53
Ghana Variety Release Catalogue,53,,,,,,,,,,COTTON,Gossypium hirsutum 81,53
Salintuya-I,GH/Gm/001/15,CSIR-SARI/ IITA,"H. Quarshie, S. Akrofi (CSIR- SARI)",CSIR- Savanna Agricultural Research Institute,Growth pattern: Determinate; flower colour: pink; Plant height: 45-55 cm; 1000 seed weight: 135 g; seed colour: cream.,Maturity:115 days; Days to 50% flowering: 50-55 days; Excellent seed quality; Tolerance to diseases: tolerant to bacterial pustule and Cercospora leaf spot; good trap-crop for S. hermonthica; yield (over 2.2 t/ha). Over 98% seed germination,"Guinea & Sudan savannahs, transitional zone",Pure line,1985,2015,COTTON,Gossypium hirsutum 81,54
