Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
CRI - Hi- Starch,GH/Ib/008/15,CIP,"H. K. Dapaah, K. Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color Green; Petiole pigmentation: Green; Storage root shape: Elliptic; Stortage root skin color : Cream; Storage root skin color : Predominant color:Cream; Storage root flesh color: Cream,High quality sweetpotato starch for industrial uses; high starch yield; potential root yield: 18 tons/ha; starch: 75.15 % (DWT); Total sugars: 10.52 %; Storage root Dry Matter content: 47%; Starch content: 21%; Sweetpotato weevils: Tolerant; SPVD: Tolerant,"Guinea savannah, Forest-Savannah transition and coastal savannah",Not known,2005,2015,COTTON,Gossypium hirsutum 81,71
CRI-Patron,GH/Ib/009/15,CIP,"J. N. Asafu Agyei, Kwadwo Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Semi- Erect; Foliage color: Green; Petiole pigmentation: Green with purple at both ends; Storage root shape: Long-elliptic; Storage root skin color: Dark yellow; Storage root flesh color: dark yellow,High biomass production for livestock; excellent for ''ampesi''(boiled) and deep fried chips and flour products; potential root yield 20 tons/ ha; starch 69.4 % (DWT); Total sugars: 14.97 %; Storage root Dry Matter content: 34.4%; Starch content: 69.4%mg/100g (DWT); Storage root beta:carotene content: 2800µg/100g; Sweetpotato Weevil: Tolerant; SPVD: Tolerant; Maturity period: 4-5 months,"Guinea savannah, Forest-Savannah transition and coastal savannah",Mohc,2012,,COTTON,Gossypium hirsutum 81,71
CRI-bohye,GH/Ib/010/15,CIP,"J. N. Asafu Agyei, Kwadwo Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Semi-erect; Foliage color: Green; Petiole pigmentation: Green with purple near leaf; Storage root shape: Obvate; Storage root skin color: Purple; Storage root flesh color: Pale Orange,"Potential root yield 22 tons/ha, starch 68 % mg/100g (DW); Total sugars: 15.21 %; Storage root Dry Matter content: 31%; Starch content: 68.1% mg/100g (DWT); Storage root beta-carotene content: 5500 µg/100g; Pest reaction: Sweetpotato Weevil: Tolerant; SPVD : Tolerant; Maturity period: 4-5 months; Uses:Ampesi, french fries and fried chunks chips and flour products","Guinea savannah, Forest-Savannah transition and coastal savannah",199062.1,2012,2015,COTTON,Gossypium hirsutum 81,71
CRI - dadanyuie,GH/Ib/011/15,CIP,"J. N. Asafu Agyei, Kwadwo Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color: Green; Petiole pigmentation: Green; Storage root shape: Round elliptic; Storage root surface defects: Absent; Predominant Storage root skin color: Dark purple; Storage root flesh color: White,"Potential root yield 18 tons/ ha; starch content 68% mg/100g (DW); Total sugars: 15.11%; Storage root Dry Matter content: 35%; Starch content: 68%(mg/100g) DWT; Sweetpotato weevil: Tolerant; SPVD: Tolerant; Maturity period: 4-5 months; Uses: Excellent starch properties for industrial applications , high quality sweetpotato flour","Guinea savannah, Forest-Savannah transition and coastal savannah",Kemb 37,2012,,COTTON,Gossypium hirsutum 81,71
CRI - Ligri,GH/Ib/012/15,CIP,"J. N. Asafu Agyei, Kwadwo Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color: Green; Petiole pigmentation: Green with purple at both ends; Storage root shape: Round; Stortage root skin color : Cream; Storage root skin color : Predominant color:Cream; Storage root flesh color: Pale yellow,"Potential root yield : 22 tons/ ha; high dry matter: 35%; starch content: 69.53% (mg/100g) DWT: Total sugars: 14.69 %; Storage root Dry Matter content : 35 %; Starch content: 69.53 % (mg/100g) DWT; Sweetpotato weevils: Tolerant; SPVD : Tolerant; Maturity period: 4-5 months; Uses: High vine(biomass) yield, High quality sweetpotato starch for industrial uses,","Guinea savannah, Forest-Savannah transition and coastal savannah",Cemsa- 74- 228,2012,2015,COTTON,Gossypium hirsutum 81,71
Ghana Variety Release Catalogue,71,,,,,,,,,,COTTON,Gossypium hirsutum 81,71
CRI-Yiedie,GH/Ib/001/19,CIP,"K. Adofo, E. Baafi, CSIR-CRI",CSIR-Crops Research Institute,Plant type: Spreading; Vine pigment: Green with few purple spots; Vine tip pubescence: Absent; Foliage colour: Green with purple immature leaves; Petiole pigmentation: Green with purple stripes; Storage root shape:Ovate; Storage root skin colour: Red; Storage root flesh colour: Yellow;,"Potential root yield:39.0 t/ ha; Storage root Dry Matter content:36.5%; Starch content (mg/100g) DWT :70.33%; Total sugars (raw): 14.48%; Sweetpotato weevil Tolerant; Alcidodes sp.: Tolerant;SPVD: Tolerant; Uses: Chunk-Fried, Boiled/Steamed, fufu, crispy chips, French fries and varied flour-based products;","Guinea savannah, Forest-Savannah transition and coastal savannah",CIP 442162,2019,2019,COTTON,Gossypium hirsutum 81,72
CRI-Gavana,GH/Ib/002/19,"CSIR-CRI, Ghana","K. Adofo, E. Baafi, CSIR-CRI",CSIR-Crops Research Institute,Plant type: Spreading; Vine pigment: Green with purple nodes; Vine tip pubescence: Absent; Foliage colour: Green; Petiole pigmentation: Green with purple throughout; Storage root shape: Obovate; Storage root skin colour: Cream; Storage root flesh colour: Dark yellow;,"Potential root yield:28.0t/ha; Storage root Dry Matter content: 35.8%; Starch content (DWT):71.88%; Total sugars (raw): 17.48%; Sweetpotato weevil Tolerant; Alcidodes sp.: Tolerant; SPVD : Tolerant; Uses: Chunk-Fried, Boiled/ Steamed, fufu, crispy chips, French fries and varied flour- based products","Guinea savannah, Forest-Savannah transition and coastal savannah",AP 3A,2019,,COTTON,Gossypium hirsutum 81,72
SARI- Nyumingre,GH/Ib/003/19,Landrace/ Ghana,"K. Acheremu, J. Adjebeng- Danquah, I. A. Abukari, CSIR- SARI; K. Adofo, CSIR-CRI; E. Carey, CIP",CSIR-SARI,Plant type: Spreading; Matured leaf colour:Green; Young leaf colour: Green with purple veins on upper leaf surface; Petiole pigmentation: Green with purple at both ends; Storage root shape: Oblong; Storage root skin colour: White; Storage root flesh colour: White.,Potential root yield:16t/ha; Maturity period: 4-5months; Total caroteniods in leaves: 56.76 (mg/100g); Sweetness: Less sweet; Total sugars: 11.22%; SPVD : Tolerant; Storage root dry matter content: 36.0%; Starch content: 63%; Uses: Ampesi,Guinea and Sudan Savannahs,Not known,2019,2019,COTTON,Gossypium hirsutum 81,72
SARI-TU- Diedi,GH/Ib/004/19,"Tuskegee University, USA","K. Acheremu, J. Adjebeng- Danquah, I. A. Abukari, CSIR- SARI; K. Adofo, CSIR-CRI; E. Carey, CIP",CSIR-SARI,Plant type: Spreading; Matured leaf colour: Green with few purple spots; Young leaf colour: Greyish green (due to dense pubescence); Petiole pigmentation: Green with purple at both ends; Storage root shape:Obovate; Storage root skin colour: Purple-red; Storage root flesh colour: Purple;,Potential root yield:14t/ha; Maturity period: 4-5months; Total caroteniods in leaves: 63.50 (mg/100g); Sweetness: Less sweet; Total sugars: 12.93 %; Storage root Dry Matter: 34 % Sweetpotato weevil: Tolerant; SPVD - Tolerant; Starch content (DWT): 63%; Anthocyanin content: 171 (mg/ 100g) DWT; Uses: Ampesi.,Guinea and Sudan Savannahs,TU-2-12,2019,,COTTON,Gossypium hirsutum 81,72
SARI-Nan,GH/Ib/005/19,Landrace/ Ghana,"K. Acheremu, J. Adjebeng- Danquah, I. A. Abukari, CSIR- SARI; K. Adofo, CSIR-CRI; E. Carey, CIP",CSIR-SARI,Plant type: Semi-erect; Mature leaf colour: Green; Young leaf colour: Yellowish green; Petiole pigmentation: Green; Storage root shape: Long oblong; Storage root skin colour: Brownish orange; Storage root flesh colour: Pale orange;,Potential root yield: 24t/ha; Maturity period: 3-4months; Total caroteniods in leaves: 74.87 (mg/100g); Sweetness: Less sweet; Total sugars: 16.96 %; Storage root Dry Matter : 27.7 % Sweet Potato weevil :Tolerant ; SPVD: Tolerant; Beta-carotene content: 15.74 mg/100g. Starch content (DWT) : 60 %; Uses: Ampesi and chunck fries.,Guinea and Sudan Savannahs,Not known,2019,2019,COTTON,Gossypium hirsutum 81,72
CRI-Vern Gracen,GH/Ib/006/19,"CSIR-CRI, Ghana","E. Baafi, CSIR- CRI",CSIR-Crops Research Institute,Plant type: Extremely spreading; Vine colour: Green; Vine tip pubescence:Moderate; Foliage colour: Green with purple edge immature leaves; Petiole pigmentation: Green with purple near leaves; Storage root shape:Obovate;Storage root skin colour:Brownish orange; Storage root flesh colour: Cream,"Potential root yield:22.0 t/ ha; Sweetpotato weevil: Tolerant; SPVD: Tolerant; Alcidodes: Tolerant; Storage root Dry Matter : 42.4%; Starch content(DWT):76.6%; Total sugars (raw): 15.29%;Beta: carotene content : 7.25 (mg/100g) DW; Benefit-Cost Ratio : 6.79; Uses: Fufu flour, French fries,Chunk-fried, Boiled/Steamed, crispy chips, bread, pastries,Gluten-free noodles.","Forest, Forest- Transition, Coastal Savannah, Guinea Savannah, Sudan Savannah",Histarch x Ogyefo,2019,,COTTON,Gossypium hirsutum 81,72
CRI-AGRA SP09,GH/Ib/007/19,"CSIR-CRI, Ghana","E. Baafi, CSIR- CRI",CSIR-Crops Research Institute,Plant type: Spreading; Vine colour: Green; Vine tip pubescence:Sparse; Foliage colour: Green; Petiole pigmentation: Green; Storage root shape:Oblong;Storage root skin colour:Pink; Storage root flesh colour: Cream,"Potential root yield:26.0t/ha; Sweetpotato weevil :Tolerant; SPVD : Tolerant; Alcidodes: Tolerant;Storage root DM : 40.3%; Starch content(DWT): 77.0%; Total sugars (raw): 14.47%; Beta-carotene content : 2.85 (mg/100g) DW; Benefit: Cost Ratio: 7.99; Uses: Fufu flour, French fries,Chunk-fried, Boiled/Steamed, crispy chips, Gluten-free noodles.","Forest, Forest- Transition, Coastal Savannah, Guinea Savannah, Sudan Savannah",Histarch x Ogyefo,2019,,COTTON,Gossypium hirsutum 81,73
CRI-AGRA SP13,GH/Ib/008/19,"CSIR-CRI, Ghana","E. Baafi, CSIR- CRI",CSIR-Crops Research Institute,Plant type: Extremly Spreading; Vine colour: Totally dark purple; Vine tip pubescence:Sparse; Foliage colour: Green; Petiole pigmentation: Green with purple spots throughout; Storage root shape:Obovate;Storage root skin colour:Yellow; Storage root flesh colour: Dark yellow,"Potential root yield:39.0t/ha; Sweetpotato weevil : Tolerant; SPVD : Tolerant; Alcidodes: Tolerant; Storage root Dry Matter : 39.7%; Starch content (DWT) : 74.6%; Total sugars (raw): 16.56%; Beta: carotene content:11.38 (mg/100g) DW; Benefit: Cost Ratio:11.87; Uses:French fries,Chunk-fried, Boiled/Steamed, crispy chips, bread, pastries, Yoghurt, Baby foods, Juice, Potential enzyme source for breweries and other industries.","Forest, Forest- Transition, Coastal Savannah, Guinea Savannah, Sudan Savannah",CIP 443035 x Resisto,2019,2019,COTTON,Gossypium hirsutum 81,73
CRI-Kofi Annan,GH/Ib/009/19,"CSIR-CRI, Ghana","E. Baafi, CSIR- CRI",CSIR-Crops Research Institute,Plant type: Semi-erect; Vine colour: Green with few purple spots; Vine tip pubescence:Absent; Foliage colour: Green with purple veins on upper surface; Petiole pigmentation: Green with purple near leaf; Storage root shape:Long elliptic;Storage root skin colour:Orange;Storage root flesh colour: Dark orange,"Potential root yield:19.0t/ha; Sweetpotato weevil : Tolerant; SPVD : Tolerant; Alcidodes: Tolerant; Storage root Dry Matter:35.5%; Starch content (DWT):70.4%; Total sugars (raw): 18.12%; Beta: carotene content:28.46 (mg/100g) DW; Benefit: Cost Ratio: 5.80; Uses: French fries,Chunk-fried, Boiled/Steamed, crispy chips, Yoghurt, Juice.","Forest, Forest- Transition, Coastal Savannah, Guinea Savannah, Sudan Savannah",CIP 443035 x Beauregard,2019,,COTTON,Gossypium hirsutum 81,73
Ghana Variety Release Catalogue,73,,,,,,,,,,COTTON,Gossypium hirsutum 81,73
TARO,,,,,,,,,,,COTTON,Gossypium hirsutum 81,74
SPECIES: Colocasia esculenta (L.) Schott,,,,,,,,,,,COTTON,Gossypium hirsutum 81,74
CRI-Huogbelor,GH/Ce/001/19,INEA,"E. Baafi, CSIR-CRI",CSIR-CRI,Structure: erect; Petiole colour: Light green; Leaf colour: Light green; Upper leaf surface: Light green leaf veins; Lower surface of leaf: Light green leaf veins; Central lobe of leaf: purple triangular spot; Corm neck colour: Cream; Corm flesh colour: Cream; Maturity: Early maturing (6 -7 months after planting),"Potential Yield: 13.0 t/ha; TLBD: highly tolerant; Corm dry matter content: 33%; starch granule size: 1- 3.5 µ, Peak viscosity: 2970; Peak Time: 5.13 mins; Pasting temperature: 85.65°C; Stability ratio: 0.65; Setback ratio: 1.47; Benefit-cost ratio: 2.95 – 5.91. Uses: Ampesi, chunk-fried.","Low lands (muddy areas) of Forest, Forest- SavannahTransition, Coastal Savannah, Guinea Savannah and Sudan Savannah",BL/SM 158,2019,2019,COTTON,Gossypium hirsutum 81,75
CRI-Asempa,GH/Ce/002/19,INEA,"E. Baafi, CSIR-CRI",CSIR-CRI,Structure: erect; Petiole colour: Pale green; Leaf colour: Pale green; Upper leaf surface: Dark green leaf veins; Lower surface of leaf: Light green leaf veins; Central lobe of leaf: light purple spot; Corm neck colour: white; Corm flesh colour: White; Maturity: Late maturing (8 - 12 months after planting),"Potential Yield: 25.0 t/ha; TLBD: highly tolerant; Corm dry matter content: 37%; starch granule size: 3 - 10 µ, Peak viscosity: 1610; Peak Time: 5.07 mins; Pasting temperature: 87.20 °C; Stability ratio: 0.73; Setback ratio: 1.38; Benefit-cost ratio: 5.69 – 11.39. Varied uses: ‘ampesi’, fufu, chunk-fried, crispy chips, flour, starch, and varied bakery products.","Low lands (muddy areas) of Forest, Forest- SavannahTransition, Coastal Savannah, Guinea Savannah and Sudan Savannah",BL/SM 115,2019,,COTTON,Gossypium hirsutum 81,75
CRI-Agyenkwa,GH/Ce/003/19,INEA,"E. Baafi, CSIR-CRI",CSIR-CRI,Structure: erect; Petiole colour: Greenish-purple base and upper purple colour; Leaf colour: Green; Upper leaf surface: Dark green leaf veins; Lower surface of leaf: Light green leaf veins with purple colouration; Central lobe of leaf: Purple circular spot; Corm neck colour: Cream; Corm flesh colour: Cream; Maturity: Late maturing (8 -12 months after planting),"Potential Yield: 12.0t/ha; TLBD: highly tolerant; Corm dry matter content: 42%; starch granule size: 2 - 5 µ, Peak viscosity: 1823; Peak Time: 5.20 mins; Pasting temperature: 87.30°C; Stability ratio: 0.72; Setback ratio: 1.46; Benefit-cost ratio: 2.74 – 5.49. Uses: Aampesi, fufu, chunk-fried, crispy chips, flour, starch, and varied bakery products.","Low lands (muddy areas) of Forest, Forest- SavannahTransition, Coastal Savannah, Guinea Savannah and Sudan Savannah",BL/SM 151,2019,2019,COTTON,Gossypium hirsutum 81,75
CRI-Yen anya woa,GH/Ce/003/19,INEA,"E. Baafi, CSIR-CRI",CSIR-CRI,"Structure: erect; Petiole colour: Green with greenish-purple margins and reddish-purple upper portion; Leaf colour: Glassy, shiny yellowish green; Upper leaf surface: Green leaf veins; Lower surface of leaf: Reddish-purple leaf veins; Central lobe of leaf: Reddish- purple radiating spot; Corm neck colour: White; Corm flesh colour: White with pink spots; Maturity: Late maturing (8 -12 months after planting)","Potential Yield: 16.0 t/ha; TLBD: highly tolerant; Corm dry matter content: 41%; starch granule size: 1 - 2.5µ; Peak viscosity: 1512; Peak Time: 5.20 mins; Pasting temperature: 86.45°C; Stability ratio: 0.80; Setback ratio: 1.45; Benefit-cost ratio: 3.54 – 7.09. Varied uses: ‘ampesi’, fufu, chunk-fried, crispy chips, flour, starch, and varied bakery products.","Low lands (muddy areas) of Forest, Forest- SavannahTransition, Coastal Savannah, Guinea Savannah and Sudan Savannah",BL/SM 16,2019,,COTTON,Gossypium hirsutum 81,75
Ghana Variety Release Catalogue,75,,,,,,,,,,COTTON,Gossypium hirsutum 81,75
YAM,,,,,,,,,,,COTTON,Gossypium hirsutum 81,76
SPECIES: Dioscorea rutundata Dioscorea alata,,,,,,,,,,,COTTON,Gossypium hirsutum 81,76
CRI-Pona,GH/Dr/001/15,"IITA, Ibadan","E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Young Stem: young stem colour: Purplish Green; Mature leaf: colour: Dark Green; Mature leaf: tip colour: Dark Green; Mature leaf: petiole length(cm): 5; Petiole length in correlation to leaf blade: Medium; Mature leaf: petiole colour: All green with purple at both ends; Tuber corms: Present; Corm size: Small and easily separated from tuber; Cylindrical tuber shape; Roots on tuber surface : no; Spines on tuber : no,Potential yield 42t/ha; Dry matter content: 33 %; Crude ash: 3.37%; Crude Fibre 2.5%; Crude Protein: 9.39; Water binding capacity:140.7; Swelling capacity: 9.32; TTA: 0.45; pH: 7.05%; Solubility:13,"Coastal savannah, Forest, Forest- savannah Transition and Guinea savannah",Landrace,2005,2015,COTTON,Gossypium hirsutum 81,77
CRI - Kukrupa,GH/Dr/003/15,Landrace/ Ghana,"E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Young Stem: young stem colour: Green; Mature leaf:colour: Dark Green; Mature leaf: tip colour: Dark Green; mature leaf:distance between lobes: Intermediate; Mature leaf: petiole length(cm): 5.7; Petiole wing colour: Green With Purple Edges; Mature leaf: petiole colour: green; Tuber corms: Present; Corm size: Small and easily separated from tuber; Cylindrical tuber shape; Roots on tuber surface: no; Spines on tuber: no,Potential yield 50t/ha; Dry Matter: 33.42; Crude Ash: 3.37; Crude Fibre: 2.46; Crude Protein: 9.39; Water Binding Capacity: 140.73; Swelling capacity: 9.32; TTA: 0.45; pH 7.05; Solubility 13%,"Coastal savanna, Forest, Forest-savannah Transition and Guinea savannah",Landrace,2005,2015,COTTON,Gossypium hirsutum 81,77
CRI Soanyinto,GH/Da/001/17,Landrace/ Ghana,"E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Colour of young leaves: light green; Colour of older leaves: dark green; distance between lobes: wide; colour of pertiole: all green; vine colour characteristics: green with green wings; folding of young leaves: mild; folding of older leaves: mild,Yield is 30.3t/ha; Virus: tolerant; nematode: tolerant; anthracnose: tolerant; Bacterial Leaf Blight : tolerant; Uses: Ampesi and fufu,"Coastal Savanna, Forest Savannah Transition, Guinea Savannah",TDa_00/0003,2017,,COTTON,Gossypium hirsutum 81,77
CRI Afase Biri,GH/Da/002/17,Landrace/ Ghana,"E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Colour of young leaves: purple; Colour of older leaves: Dark green with purple tinge; distance between lobes: wide; colour of pertiole: Green with purple ends; vine colour characteristics: Light green with purple nodes and purple wings; folding of young leaves: upwards; folding of older leaves: upwards,Purple tuber flesh; Yield is 43.7t/ha; Virus: tolerant; nematode: tolerant; anthracnose: tolerant; Bacterial Leaf Blight : tolerant; Uses: Ampesi and fufu,"Coastal Savannah, Forest Savannah Transition, Guinea Savannah",TDa_00/0046,2017,2017,COTTON,Gossypium hirsutum 81,77
CRI Afasepa,GH/Da/003/17,"IITA, Ibadan","E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Colour of young leaves: Greenish with purplish tinge; Colour of older leaves: green; distance between lobes: no distance; colour of pertiole: all green; vine colour characteristics: Green with dark green wings; folding of young leaves: upwards; folding of older leaves: upwards,Yield is 32.3t/ha; taste good; Virus: tolerant; nematode: tolerant; anthracnose: tolerant; Bacterial Leaf Blight: tolerant; Uses: Ampesi and fufu,"Coastal Savannah, Forest Savannah Transition, Guinea Savannah",TDa_00/0004,2017,,COTTON,Gossypium hirsutum 81,77
CRI Ahoodinfoo,GH/Da/004/17,Landrace/ Ghana,"E. Otoo, CSIR-CRI",CSIR-Crops Research Institute,Colour of young leaves: green; Colour of older leaves: green; distance between lobes: wide; colour of pertiole: all green; vine colour characteristics: Green with green wings; folding of young leaves: downwards; folding of older leaves: downwards,Yield is 34.6t/ha; Virus: tolerant; nematode: tolerant; anthracnose: tolerant; Bacterial Leaf Blight: tolerant; Uses: Ampesi and fufu,"Coastal Savannah, Forest Savannah Transition, Guinea Savannah",TDa_00/0029,2017,2017,COTTON,Gossypium hirsutum 81,77
Ghana Variety Release Catalogue,77,,,,,,,,,,COTTON,Gossypium hirsutum 81,77
VEGETABLES,,,,,,,,,,,COTTON,Gossypium hirsutum 81,78
PEPPER,,,,,,,,,,,COTTON,Gossypium hirsutum 81,78
SPECIES: Capsicum annum,,,,,,,,,,,COTTON,Gossypium hirsutum 81,78
CSIR-CRI shito adope,GH/Ca/001/15,Landrace/ Ghana,CSIR- Crops Research Institute,CSIR-Crops Research Institute,Plant height: 48 cm; Plant Spread: 52 cm; Days to flowering: 60 days; Plant growth habit: Compact & flat at top; Immature fruit colour: green; Mature fruit colour: red; Av. length of fruit with pedicel: 8.31cm; Av. Length of fruit without pedicle: 6.52 cm; Av. Fruit weight: 3.48 grams,Pungency: Very Hot; Yield-Fresh: 30 t/ha; Yield- Dry: 9.3 t/ha,Savannah areas,MI 2,2005,2015,COTTON,Gossypium hirsutum 81,79
CSIR-CRI MAKO NTOSE,GH/Ca/002/15,Landrace/ Ghana,CSIR- Crops Research Institute,CSIR-Crops Research Institute,Plant height: 54cm; Plant spread 48cm; Number of days to flowering : 63 days; Immature fruit colour: Light green; Mature fruit colour :Bright Red; Av. length of fruit with pedicel : 14.61; Av. length of fruit without pedicle: 11.52 cm; Av. Fruit weight grams: 10.88,Pungency: Mild; Ripe fruits can replace tomato in many food preparations; Yield: Fresh: 35 t/ha; Yield: Dry12.25 t/ha,Savannah areas,ICPN9 -14 (An introduction from AVRDC -Taiwan),2005,,COTTON,Gossypium hirsutum 81,79
Ghana Variety Release Catalogue,79,,,,,,,,,,COTTON,Gossypium hirsutum 81,79
INDUSTRIAL CROPS,,,,,,,,,,,COTTON,Gossypium hirsutum 81,80
COTTON,,,,,,,,,,,COTTON,Gossypium hirsutum 81,80
SPECIES: Gossypium hirsutum,,,,,,,,,,,COTTON,Gossypium hirsutum 81,80
SARCOT 1,GH/Gh/001/15,Landrace/ Ghana,"E. B. Chamba, M. S. Abdulai, A. V. Clottey, A.B. Salifu; CSIR-SARI",CSIR-SARI,First fruiting node: 7.3; leaf length: 12.5cm; Node/ sympodium: 3.5; petal colour: pale yellow; boll shape: elongated; boll surface: dimpled; No. of locules per boll: 4.3; seeds per boll: 30.6; hairiness: pubescent; plant height: 104cm,Comparatively early maturing (less than 145 days) after planting. Excellent lint colour (white),"Guinea & Sudan savannahs, transitional zone",Pure line,2004,2015,COTTON,Gossypium hirsutum 81,81
Ghana Variety Release Catalogue,81,,,,,,,,,,COTTON,Gossypium hirsutum 81,81
